Image Name,Format,Scene Description
lastbkp,webp,Default story image
apartment,png,Starting scene - Simple job setup
street,png,Street level scene with crowds
market,png,Night Market with illegal tech trades
network,png,Hidden network visualization
revolution,png,Public revolution ending
profit,png,Profit ending scene
keeper,png,Secret keeper ending
tunnels,png,Underground maintenance tunnels
rooftops,png,Rooftop navigation scene
side_street,png,Narrow side street scene
fence,png,Data fence's booth
corp_blend,png,Corporate zone blending scene
back_alley,png,Dangerous back alley
rooftop_escape,png,Rooftop escape sequence
quick_climb,png,Fast climbing scene
careful_climb,png,Methodical climbing scene
desperate_jump,png,Desperate rooftop jump
maintenance_hideout,png,Maintenance tunnel hideout
deep_maintenance,png,Deep maintenance tunnels
maintenance_ambush,png,Maintenance tunnel ambush
maintenance_exit,png,Maintenance exit scene
spiderbot_hack,png,Spiderbot hacking scene
spiderbot_chase,png,Spiderbot chase sequence
gang_confrontation,png,Gang confrontation scene
gang_negotiate,png,Gang negotiation scene
gang_combat,png,Gang combat scene
oracle_apology,png,Oracle apology scene
oracle_surge,png,Oracle power surge scene
recovery_hideout,png,Recovery hideout scene
creator_inquiry,png,Creator investigation scene
chen_lab,png,Dr. Chen's laboratory
main_terminal,png,Main terminal access
data_download,png,Data download sequence
alternative_exit,png,Alternative escape route
deep_underground,png,Deep underground scene
resistance_strategy,png,Resistance planning scene
recruit_allies,png,Ally recruitment scene
final_preparations,png,Final mission prep
operation_begins,png,Operation start scene
server_approach,png,Server room approach
digital_battle,png,Digital combat scene
upload_complete,png,Upload completion scene
public_revolution,png,Public revolution ending
secret_keeper,png,Secret keeper ending
network_ending,png,Network distribution ending
merge_ending,png,Consciousness merge ending
storage,png,Storage room scene
crate,png,Hiding crate scene
security_gate,png,Security gate scene
brute_force,png,Brute force hacking
social_engineering,png,Social engineering scene
physical_key,png,Physical key usage
drone_escape,png,Drone escape sequence
stakeout,png,Stakeout scene
street_fight,png,Street combat scene
exec_plant,png,Executive plant scene
shop_escape,png,Shop escape sequence
start,png,Story start scene
worker,png,Worker route scene 
